[2025-02-18 02:49:20,532: INFO: main: Welcome to our custom log]
[2025-02-18 12:19:36,762: INFO: main: Welcome to our custom log]
[2025-02-18 12:51:19,408: INFO: main: Welcome to our custom log]
[2025-03-06 03:27:29,113: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-06 03:27:29,131: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-06 03:27:29,135: INFO: common: created directory at: artifacts]
[2025-03-06 03:27:29,138: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-06 03:27:29,140: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1q6ail-391XryJ_Dlukd-CXBgQKVHbWrd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-06 03:27:37,405: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1q6ail-391XryJ_Dlukd-CXBgQKVHbWrd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-06 03:50:08,958: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-03-06 03:50:08,960: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-06 03:50:08,961: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-06 03:50:08,962: INFO: common: created directory at: artifacts]
[2025-03-06 03:50:08,962: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-06 03:50:08,963: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1q6ail-391XryJ_Dlukd-CXBgQKVHbWrd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-06 03:50:17,590: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1q6ail-391XryJ_Dlukd-CXBgQKVHbWrd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-06 03:50:18,376: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
